date,country,confirmed,cured
2020-04-30,美国,1065739,147473
2020-03-30,美国,143724,4865
2020-04-09,美国,431694,24213
2020-02-14,美国,15,3
2020-01-26,美国,3,0
2020-03-25,美国,55231,354
2020-04-18,美国,709036,63510
2020-01-28,美国,5,0
2020-02-10,美国,12,3
2020-02-20,美国,15,3
2020-01-23,美国,1,0
2020-02-06,美国,12,1
2020-02-27,美国,60,3
2020-04-27,美国,987916,118781
2020-02-07,美国,12,1
2020-04-21,美国,792846,72410
2020-01-27,美国,5,0
2020-04-29,美国,1036417,143098
2020-02-16,美国,15,3
2020-03-26,美国,69197,619
2020-04-03,美国,255456,9359
2020-02-19,美国,15,3
2020-03-11,美国,1004,10
2020-02-02,美国,5,0
2020-04-25,美国,929028,110504
2020-04-15,美国,614726,38879
2020-03-02,美国,89,3
2020-03-09,美国,572,10
2020-03-08,美国,445,10
2020-04-10,美国,469464,26522
2020-04-16,美国,650833,52739
2020-03-07,美国,338,10
2020-04-11,美国,503177,29191
2020-04-01,美国,189753,7141
2020-01-22,美国,1,0
2020-04-12,美国,529112,30548
2020-04-14,美国,587815,37315
2020-02-15,美国,15,3
2020-03-21,美国,19624,147
2020-02-22,美国,34,3
2020-04-07,美国,374782,19972
2020-04-04,美国,288993,9897
2020-02-23,美国,34,3
2020-03-19,美国,10525,108
2020-03-18,美国,6536,106
2020-02-21,美国,15,3
2020-03-28,美国,104860,894
2020-03-05,美国,161,3
2020-03-03,美国,106,3
2020-01-24,美国,2,0
2020-02-01,美国,5,0
2020-02-25,美国,53,3
2020-02-08,美国,12,3
2020-02-03,美国,5,0
2020-02-17,美国,15,3
2020-02-29,美国,64,3
2020-03-15,美国,2995,56
2020-02-12,美国,13,3
2020-04-13,美国,556569,32634
2020-04-23,美国,849094,84050
2020-03-14,美国,2291,41
2020-03-10,美国,717,10
2020-04-08,美国,400549,22461
2020-03-31,美国,165764,5945
2020-01-25,美国,2,0
2020-02-28,美国,60,3
2020-04-19,美国,740151,68456
2020-04-20,美国,765738,71281
2020-04-06,美国,337300,17582
2020-02-24,美国,34,3
2020-02-11,美国,13,3
2020-04-17,美国,679766,57844
2020-01-30,美国,5,0
2020-01-31,美国,5,0
2020-03-06,美国,233,3
2020-03-22,美国,27111,178
2020-03-13,美国,1832,31
2020-01-29,美国,5,0
2020-03-24,美国,46450,178
2020-03-16,美国,3782,56
2020-04-28,美国,1012147,139419
2020-04-02,美国,216722,8672
2020-03-01,美国,69,3
2020-03-20,美国,14387,121
2020-03-17,美国,5073,56
2020-04-24,美国,886709,85922
2020-02-13,美国,14,3
2020-03-29,美国,124868,2612
2020-04-22,美国,825041,82973
2020-03-27,美国,86012,753
2020-03-12,美国,1323,10
2020-02-09,美国,12,3
2020-03-23,美国,39183,178
2020-04-05,美国,312249,15021
2020-03-04,美国,126,3
2020-02-18,美国,15,3
2020-04-26,美国,960896,118162
2020-02-26,美国,57,3
